"Name","Status","Latitude","Longitude","Maximum.Wind","diff","rapid_int","i","n","persistence","product","Initial.Max","speed","speed_z","speed_m","Jday","Maximum.Wind_p","Latitude_p","Longitude_p"
151,2,29.8,-80.2,25,5,"0",5,17,0,0,25,0.764519202500879,1.22705473505221,0.999929226087176,54,25,29.9,-79.3
151,2,29.5,-81.1,25,0,"0",6,17,0,0,25,0.795768643138557,1.22215896835478,0.999929226087176,54,25,29.8,-80.2
151,2,29.5,-82,20,-5,"0",7,17,0,0,25,0.669726507521104,1.21968874839335,0.999929226087176,54,25,29.5,-81.1
151,2,29.5,-84.7,20,-5,"0",10,17,0,0,25,0.723900885302136,1.20965957437969,0.999929226087176,53,20,29.4,-84
151,2,29.6,-85.8,25,5,"0",11,17,0,0,25,0.615706040135957,1.20711532948765,0.999929226087176,53,20,29.5,-84.7
151,2,29.7,-86.4,25,5,"0",12,17,5,125,25,0.655396052888915,1.20711532948765,0.999929226087176,53,25,29.6,-85.8
151,2,29.8,-87,25,5,"0",13,17,5,125,25,0.61898480704245,1.20965957437969,0.999929226087176,52,25,29.7,-86.4
151,2,29.9,-87.8,25,5,"0",14,17,0,0,25,0.44044733491727,1.21218905616676,0.999929226087176,52,25,29.8,-87
151,2,30,-88.5,25,0,"0",15,17,0,0,25,0.510931787248884,1.21470377484886,0.999929226087176,52,25,29.9,-87.8
151,2,30.4,-89.2,20,-5,"0",16,17,0,0,25,0.545960248923712,1.21720369552502,0.999929226087176,52,25,30,-88.5
126,3,23.2,-84.2,50,30,"1",5,17,15,600,40,0.626670583132786,0.987400435714313,0.999929226087176,100,40,22.8,-85
126,1,24,-83.6,75,50,"1",6,17,20,1000,50,0.6603710756324,1.0013814451321,0.999929226087176,100,50,23.2,-84.2
126,1,24.8,-83.4,65,35,"1",7,17,35,2625,75,0.729559405792076,1.00829895448863,0.999929226087176,99,75,24,-83.6
126,3,24.9,-84.1,55,15,"0",8,17,15,1125,75,0.729950671239998,1.02198613274623,0.999929226087176,99,65,24.8,-83.4
126,2,25.5,-83.3,25,-5,"0",15,17,0,0,75,0.171492413470678,1.0873809640139,0.999929226087176,97,25,25.4,-83.6
126,2,25.5,-83,25,0,"0",16,17,0,0,75,0.239744539068041,1.09051416256172,0.999929226087176,97,25,25.5,-83.3
126,2,25.5,-82.6,20,-5,"0",17,17,0,0,75,0.228624719308604,1.09363409874575,0.999929226087176,97,25,25.5,-83
151,2,11,-43.4,30,10,"0",5,22,5,150,30,1.13915839874722,0.491930913822781,0.999929226087176,49,30,10.9,-42.1
151,2,11.2,-44.9,30,5,"0",6,22,5,150,30,1.06694751447479,0.514941080122412,0.999929226087176,49,30,11,-43.4
151,2,11.6,-46.2,30,5,"0",7,22,0,0,30,1.14717579665385,0.524101639108794,0.999929226087176,48,30,11.2,-44.9
151,2,11.8,-47.8,30,0,"0",8,22,0,0,30,1.16630116307031,0.528672373190142,0.999929226087176,48,30,11.6,-46.2
151,2,12,-49,30,0,"0",9,22,0,0,30,1.20527472136521,0.537794471321492,0.999929226087176,48,30,11.8,-47.8
151,2,12.1,-50.5,30,0,"0",10,22,0,0,30,1.14943485406231,0.555959547113812,0.999929226087176,48,30,12,-49
151,2,12.2,-52,30,0,"0",11,22,0,0,30,1.10320973319733,0.565001582448932,0.999929226087176,47,30,12.1,-50.5
151,2,12.4,-53.1,30,0,"0",12,22,0,0,30,1.22010535265134,0.574016115829637,0.999929226087176,47,30,12.2,-52
151,2,12.6,-54.5,30,0,"0",13,22,0,0,30,1.06170437081198,0.578512894782297,0.999929226087176,47,30,12.4,-53.1
151,2,13,-56,30,0,"0",14,22,0,0,30,1.02675303876965,0.58300269354348,0.999929226087176,47,30,12.6,-54.5
151,2,13.1,-57.2,30,0,"0",15,22,0,0,30,1.20010470765571,0.591960826977059,0.999929226087176,46,30,13,-56
151,2,13.3,-58.8,30,0,"0",16,22,0,0,30,1.11191142511395,0.600890062417928,0.999929226087176,46,30,13.1,-57.2
151,2,13.7,-60.1,30,0,"0",17,22,0,0,30,1.13830057034154,0.618660268778451,0.999929226087176,46,30,13.3,-58.8
151,2,13.9,-61.8,30,0,"0",18,22,0,0,30,1.19685652076197,0.623084174532101,0.999929226087176,46,30,13.7,-60.1
151,2,14,-63,25,-5,"0",19,22,0,0,30,1.23537541347648,0.631909056110404,0.999929226087176,45,30,13.9,-61.8
151,2,28.9,-77.8,30,10,"0",5,11,5,150,30,0.551339305993516,1.17544623566206,0.999929226087176,90,30,28.7,-77.2
151,2,29,-78.3,30,5,"0",6,11,5,150,30,0.51689356725722,1.18086921622167,0.999929226087176,90,30,28.9,-77.8
151,2,29.2,-79.1,30,5,"0",7,11,0,0,30,0.418755764840587,1.18889563369703,0.999929226087176,89,30,29,-78.3
151,2,29.6,-79.9,30,0,"0",8,11,0,0,30,0.487759874953996,1.19417415919405,0.999929226087176,89,30,29.2,-79.1
151,2,29.8,-80.3,25,-5,"0",9,11,0,0,30,0.63028409555531,1.19679166119563,0.999929226087176,89,30,29.6,-79.9
1,3,31.3,-66.6,35,5,"0",5,16,0,0,30,0.57000337921204,1.21470377484886,0.999929226087176,57,30,30.6,-66.1
1,3,32.2,-67,35,5,"0",6,16,5,175,35,0.634057885794913,1.22461432050838,0.999929226087176,56,35,31.3,-66.6
1,3,33.3,-67.2,40,10,"0",7,16,5,175,35,0.736523892519361,1.2366664936156,0.999929226087176,56,35,32.2,-67
1,3,34.4,-67.3,40,10,"0",8,16,5,200,40,0.856225746632688,1.25290583928257,0.999929226087176,56,40,33.3,-67.2
1,3,35.6,-67.3,45,10,"0",9,16,5,200,40,0.918868303317016,1.27268438633456,0.999929226087176,56,40,34.4,-67.3
1,3,37.2,-66.8,45,10,"0",10,16,5,225,45,0.955070633886056,1.29515055141151,0.999929226087176,55,45,35.6,-67.3
1,3,39.1,-65.9,45,5,"0",11,16,5,225,45,1.17406576969803,1.31570721530829,0.999929226087176,55,45,37.2,-66.8
1,3,40.8,-64.4,50,10,"0",12,16,0,0,45,1.52403435804952,1.33591947655765,0.999929226087176,55,45,39.1,-65.9
1,3,42.5,-63.5,55,10,"0",13,16,5,250,50,1.68234912174564,1.35921768045853,0.999929226087176,55,50,40.8,-64.4
1,3,44.2,-60.3,60,15,"0",14,16,10,550,55,1.599557633225,1.38137357602438,0.999929226087176,54,55,42.5,-63.5
103,3,29.7,-77.5,35,5,"0",5,16,0,0,30,0.794541534756978,1.15318417138387,0.999929226087176,97,30,29.1,-77
103,3,30.2,-77.8,40,10,"0",6,16,5,175,35,0.671016592824217,1.18086921622167,0.999929226087176,97,35,29.7,-77.5
103,3,30.7,-78,45,15,"0",7,16,10,400,40,0.540009255643948,1.19939453969607,0.999929226087176,97,40,30.2,-77.8
103,3,31.4,-77.9,45,15,"0",8,16,10,450,45,0.452069578110468,1.21470377484886,0.999929226087176,97,45,30.7,-78
103,3,31.9,-77.8,45,10,"0",9,16,5,225,45,0.499251885216155,1.22705473505221,0.999929226087176,96,45,31.4,-77.9
103,3,32.8,-76.9,45,5,"0",10,16,0,0,45,0.503001768292617,1.23903183620011,0.999929226087176,96,45,31.9,-77.8
103,3,33.6,-76,45,0,"0",11,16,0,0,45,0.679041277124352,1.2551648735509,0.999929226087176,96,45,32.8,-76.9
103,3,34.3,-75,45,0,"0",12,16,0,0,45,0.944606962594356,1.26623018718725,0.999929226087176,96,45,33.6,-76
103,3,35.2,-73.9,45,0,"0",13,16,0,0,45,0.905094313736219,1.28517341472531,0.999929226087176,95,45,34.3,-75
103,3,36.3,-72.7,45,0,"0",14,16,0,0,45,0.978670927003656,1.30094760043232,0.999929226087176,95,45,35.2,-73.9
103,3,37.9,-71,40,-5,"0",15,16,0,0,45,1.13817815713934,1.31391815733204,0.999929226087176,95,45,36.3,-72.7
151,2,23.3,-69.3,30,5,"0",5,31,0,0,25,0.495334986983718,0.962471938292294,0.999929226087176,109,25,22.6,-69.5
151,2,24,-69,30,5,"0",6,31,5,150,30,0.544886058967422,0.980337494068379,0.999929226087176,109,30,23.3,-69.3
151,2,24.6,-68.8,30,5,"0",7,31,5,150,30,0.611428451094242,1.0013814451321,0.999929226087176,108,30,24,-69
151,2,25.3,-69,30,5,"0",8,31,0,0,30,0.571830257199775,1.02537690035952,0.999929226087176,108,30,24.6,-68.8
151,2,26,-69.4,30,0,"0",9,31,0,0,30,0.539476023305259,1.04876005319067,0.999929226087176,108,30,25.3,-69
151,2,25.7,-69.4,30,0,"0",10,31,0,0,30,0.623056706614508,1.06830486853109,0.999929226087176,108,30,26,-69.4
151,2,26.5,-68.8,30,0,"0",11,31,0,0,30,0.223607158895433,1.09051416256172,0.999929226087176,107,30,25.7,-69.4
151,2,26.8,-69.6,30,0,"0",12,31,0,0,30,0.304827430614771,1.11207237923244,0.999929226087176,107,30,26.5,-68.8
151,2,26.1,-69.9,30,0,"0",13,31,0,0,30,0.462508722425346,1.10291370489775,0.999929226087176,107,30,26.8,-69.6
151,2,25.8,-69.6,30,0,"0",14,31,0,0,30,0.441609340917969,1.12706523720658,0.999929226087176,107,30,26.1,-69.9
151,2,25.4,-69.7,30,0,"0",15,31,0,0,30,0.414981556495454,1.13589650566008,0.999929226087176,106,30,25.8,-69.6
151,2,25.3,-70.1,30,0,"0",16,31,0,0,30,0.299951471115676,1.1150981875344,0.999929226087176,106,30,25.4,-69.7
151,2,25.3,-70.8,30,0,"0",17,31,0,0,30,0.27945640800096,1.10598010301315,0.999929226087176,106,30,25.3,-70.1
151,2,25.3,-71.7,30,0,"0",18,31,0,0,30,0.414605712629963,1.09363409874575,0.999929226087176,106,30,25.3,-70.8
151,2,25.4,-72.5,30,0,"0",19,31,0,0,30,0.600280571330427,1.09051416256172,0.999929226087176,105,30,25.3,-71.7
151,2,25.5,-73.3,30,0,"0",20,31,0,0,30,0.638883293845429,1.09051416256172,0.999929226087176,105,30,25.4,-72.5
151,2,25.6,-74.1,30,0,"0",21,31,0,0,30,0.605499043363365,1.09051416256172,0.999929226087176,105,30,25.5,-73.3
151,2,25.7,-75,30,0,"0",22,31,0,0,30,0.605005739744517,1.09363409874575,0.999929226087176,105,30,25.6,-74.1
151,2,25.8,-75.7,30,0,"0",23,31,0,0,30,0.641600444171062,1.09674066786309,0.999929226087176,104,30,25.7,-75
151,2,25.8,-76.5,30,0,"0",24,31,0,0,30,0.604013731529216,1.09983386991376,0.999929226087176,104,30,25.8,-75.7
151,2,25.9,-77.3,30,0,"0",25,31,0,0,30,0.562190281120544,1.10291370489775,0.999929226087176,104,30,25.8,-76.5
151,2,25.8,-78.5,30,0,"0",26,31,0,0,30,0.598968147207753,1.10598010301315,0.999929226087176,104,30,25.9,-77.3
151,2,25.3,-79.4,30,0,"0",27,31,0,0,30,0.747224183506114,1.10598010301315,0.999929226087176,103,30,25.8,-78.5
151,2,24.7,-80.2,30,0,"0",28,31,0,0,30,0.824397297012305,1.10903299445805,0.999929226087176,103,30,25.3,-79.4
151,2,24.6,-80.6,25,-5,"0",29,31,0,0,30,0.784521550640608,1.10598010301315,0.999929226087176,103,30,24.7,-80.2
126,2,37,-73.5,25,5,"0",5,13,5,125,25,1.13790123701538,1.28517341472531,0.999929226087176,35,25,35.2,-74.6
126,2,38.7,-72.4,25,5,"0",6,13,5,125,25,1.37096572288484,1.30845497086953,0.999929226087176,34,25,37,-73.5
126,2,40,-70.8,30,10,"0",7,13,0,0,25,1.62524340546683,1.32944084674017,0.999929226087176,34,25,38.7,-72.4
126,3,41.5,-69,35,10,"0",8,13,5,150,30,1.52257346705358,1.3565358559925,0.999929226087176,34,30,40,-70.8
126,3,43,-67.5,35,10,"0",9,13,10,350,35,1.58557588469548,1.37721111334246,0.999929226087176,34,35,41.5,-69
126,3,45,-65.5,35,10,"0",10,13,5,175,35,1.61273405837491,1.38975333079225,0.999929226087176,33,35,43,-67.5
126,3,47,-63,35,5,"0",11,13,0,0,35,1.79647167821623,1.40066815150038,0.999929226087176,33,35,45,-65.5
151,2,20.1,-93.7,25,0,"0",5,7,0,0,25,0.146705808923121,0.940646659495711,0.999929226087176,87,25,20.6,-93.8
151,2,19.6,-93.6,25,0,"0",6,7,0,0,25,0.340965720950409,0.940646659495711,0.999929226087176,86,25,20.1,-93.7
151,2,19.2,-93.7,25,0,"0",7,7,0,0,25,0.422237292014894,0.929578693386601,0.999929226087176,86,25,19.6,-93.6
151,2,23,-82.8,25,0,"0",5,7,0,0,25,0.912810853902473,0.895767867410432,0.999929226087176,109,25,21.8,-83.3
151,2,24,-82.2,25,0,"0",6,7,0,0,25,1.01544730177615,0.933279416402382,0.999929226087176,108,25,23,-82.8
151,2,24,-82.2,25,0,"0",7,7,0,0,25,1.00512837041447,0.973226807912749,0.999929226087176,108,25,24,-82.2
1,2,31.3,-79.7,25,5,"0",14,25,0,0,20,0.623462347350998,1.21968874839335,0.999929226087176,71,20,30.9,-80.3
1,2,31.5,-79,25,5,"0",15,25,5,125,25,0.594965102486837,1.23189061170677,0.999929226087176,70,25,31.3,-79.7
1,2,32.5,-77.4,25,5,"0",16,25,5,125,25,0.524331648513519,1.2437171850255,0.999929226087176,70,25,31.5,-79
1,2,33.9,-75.4,30,10,"0",17,25,0,0,25,0.951053949681398,1.25290583928257,0.999929226087176,70,25,32.5,-77.4
1,2,35.2,-73.4,30,5,"0",18,25,5,150,30,1.60365629585027,1.2574086211999,0.999929226087176,70,30,33.9,-75.4
1,3,36.2,-70.7,40,15,"0",19,25,5,150,30,1.77617240394329,1.27899905145427,0.999929226087176,69,30,35.2,-73.4
1,3,37.1,-67.8,45,20,"0",20,25,10,400,40,1.8598781391413,1.30660200924031,0.999929226087176,69,40,36.2,-70.7
1,3,37.6,-64.7,45,15,"0",21,25,15,675,45,2.03496295576586,1.32944084674017,0.999929226087176,69,45,37.1,-67.8
1,3,37.9,-61.1,45,15,"0",22,25,5,225,45,2.07371096860901,1.34514872062815,0.999929226087176,69,45,37.6,-64.7
1,3,38,-57.5,45,5,"0",23,25,0,0,45,2.23015364912009,1.35788502230194,0.999929226087176,68,45,37.9,-61.1
1,3,37.5,-54.2,40,-5,"0",24,25,0,0,45,2.36611044620789,1.36438242883449,0.999929226087176,68,45,38,-57.5
151,2,25.4,-77.5,30,5,"0",5,11,0,0,25,1.46240430866407,0.990913810390878,0.999929226087176,102,25,24.5,-79
151,2,26.1,-75.8,30,5,"0",6,11,5,150,30,1.39811427332988,1.02198613274623,0.999929226087176,102,30,25.4,-77.5
151,2,26.7,-74,30,5,"0",7,11,5,150,30,1.37185861644346,1.06507970596057,0.999929226087176,101,30,26.1,-75.8
151,2,27.8,-71.8,30,5,"0",8,11,0,0,30,1.41192407909508,1.09363409874575,0.999929226087176,101,30,26.7,-74
126,2,22,-86.1,30,5,"0",5,31,5,150,30,0.503476810247801,0.966068656455082,0.999929226087176,72,30,21.5,-85.6
126,2,22.5,-86.4,30,5,"0",6,31,0,0,30,0.384453800486402,0.966068656455082,0.999929226087176,72,30,22,-86.1
126,2,23,-86.7,30,0,"0",7,31,0,0,30,0.516675649006927,0.962471938292294,0.999929226087176,72,30,22.5,-86.4
126,3,23.7,-87.1,35,5,"0",8,31,0,0,30,0.474472387611708,0.980337494068379,0.999929226087176,71,30,23,-86.7
126,3,24.4,-87.5,35,5,"0",9,31,5,175,35,0.565129748403106,0.997904402352163,0.999929226087176,71,35,23.7,-87.1
126,3,25.5,-87.5,40,10,"0",10,31,5,175,35,0.655691446505931,1.01516728839621,0.999929226087176,71,35,24.4,-87.5
126,3,26.5,-86.9,45,15,"0",11,31,5,200,40,0.762059800172242,1.03881460657377,0.999929226087176,71,40,25.5,-87.5
126,3,27.7,-86.8,45,10,"0",12,31,10,450,45,0.899990236289886,1.0618415602339,0.999929226087176,70,45,26.5,-86.9
126,3,28.8,-86.8,50,15,"0",13,31,5,225,45,0.949181342073082,1.09674066786309,0.999929226087176,70,45,27.7,-86.8
126,3,29.9,-86.7,55,15,"0",14,31,5,250,50,0.955164994697191,1.12706523720658,0.999929226087176,70,50,28.8,-86.8
126,3,30.7,-86.3,45,0,"0",15,31,10,550,55,0.913683217476404,1.16163878870533,0.999929226087176,70,55,29.9,-86.7
126,2,33,-85,20,-5,"0",20,31,0,0,55,0.482315028065449,1.26185015193703,0.999929226087176,68,20,32.7,-85.2
